question,entity_type,gene,disease,drug,claim,evidence_kind,study_type,sample_n,source_title,PMID,DOI,year,quoted_or_source_note,agent_summary,status,needs_human_review,model_inference
Is first-line osimertinib superior to standard first-generation EGFR-TKIs in patients with advanced EGFR-mutant NSCLC?,gene-drug-disease,EGFR (exon 19 deletion or L858R),advanced NSCLC,"osimertinib, standard EGFR-TKIs (gefitinib or erlotinib)",Osimertinib leads to significantly longer progression-free survival (18.9 months vs. 10.2 months) compared to standard EGFR-TKIs in untreated advanced EGFR-mutated NSCLC.,literature_evidence,Phase III RCT,556,Osimertinib in Untreated EGFR-Mutated Advanced Non-Small-Cell Lung Cancer.,29151359,10.1056/NEJMoa1713137,2018,"The median progression-free survival was significantly longer with osimertinib than with standard EGFR-TKIs (18.9 months vs. 10.2 months; hazard ratio for disease progression or death, 0.46; 95% confidence interval [CI], 0.37 to 0.57; P<0.001).",FLAURA trial established superior PFS of osimertinib over standard first-generation EGFR-TKIs in treatment-naive EGFR-mutant advanced NSCLC.,supported,TRUE,FALSE
Does adding chemotherapy to first-line osimertinib improve PFS in patients with advanced EGFR-mutant NSCLC?,gene-drug-disease,EGFR (exon 19 deletion or L858R),advanced NSCLC,"osimertinib, pemetrexed plus cisplatin or carboplatin",Adding chemotherapy (pemetrexed-plus-platinum) to first-line osimertinib significantly prolongs progression-free survival compared to osimertinib monotherapy in advanced EGFR-mutant NSCLC.,literature_evidence,Phase III RCT,557,Osimertinib with or without Chemotherapy in ,37937763,10.1056/NEJMoa2306434,2023,"Investigator-assessed progression-free survival was significantly longer in the osimertinib-chemotherapy group than in the osimertinib group (hazard ratio for disease progression or death, 0.62; 95% confidence interval [CI], 0.49 to 0.79; P<0.001).",FLAURA2 trial demonstrated that combining osimertinib with pemetrexed-plus-platinum chemotherapy significantly improves PFS compared with osimertinib alone in untreated EGFR-mutant advanced NSCLC.,supported,TRUE,FALSE
Does adjuvant osimertinib improve disease-free survival in patients with resected stage IB-IIIA EGFR-mutant NSCLC?,gene-drug-disease,EGFR (exon 19 deletion or L858R),stage IB-IIIA resected NSCLC,osimertinib,Adjuvant osimertinib provides a significant disease-free survival benefit over placebo in patients with completely resected stage IB-IIIA EGFR-mutated NSCLC.,literature_evidence,Phase III RCT,682,Adjuvant Osimertinib for Resected EGFR-Mutated Stage IB-IIIA Non-Small-Cell Lung Cancer: Updated Results From the Phase III Randomized ADAURA Trial.,36720083,10.1200/JCO.22.02186,2023,"In the overall population, DFS HR was 0.27 (95% CI, 0.21 to 0.34); 4-year DFS rate was 73% (osimertinib) and 38% (placebo).",ADAURA updated results confirmed that adjuvant osimertinib significantly prolongs DFS compared to placebo in stage IB-IIIA resected EGFR-mutant NSCLC.,supported,TRUE,FALSE
Is osimertinib effective after chemoradiotherapy in patients with unresectable stage III EGFR-mutant NSCLC?,gene-drug-disease,EGFR,unresectable stage III NSCLC,osimertinib,Osimertinib significantly prolongs progression-free survival compared to placebo in patients with unresectable stage III EGFR-mutated NSCLC who did not progress during or after chemoradiotherapy.,literature_evidence,Phase III RCT,216,Osimertinib after Chemoradiotherapy in Stage III ,38828946,10.1056/NEJMoa2402614,2024,"Osimertinib resulted in a significant progression-free survival benefit as compared with placebo: the median progression-free survival was 39.1 months with osimertinib versus 5.6 months with placebo, with a hazard ratio for disease progression or death of 0.16 (95% confidence interval [CI], 0.10 to 0.24; P<0.001).",LAURA trial showed that consolidation osimertinib after chemoradiotherapy significantly prolonged PFS (39.1 vs 5.6 months) in unresectable stage III EGFR-mutated NSCLC.,supported,TRUE,FALSE
Is amivantamab plus chemotherapy effective in patients with EGFR-mutated advanced NSCLC after disease progression on osimertinib?,gene-drug-disease,EGFR (exon 19 deletion or L858R),EGFR-mutated advanced NSCLC after osimertinib progression,"amivantamab, carboplatin-pemetrexed",Amivantamab plus chemotherapy significantly prolongs progression-free survival compared to chemotherapy alone in patients with EGFR-mutated advanced NSCLC after progression on osimertinib.,literature_evidence,Phase III RCT,657,Amivantamab plus chemotherapy with and without lazertinib in EGFR-mutant advanced NSCLC after disease progression on osimertinib: primary results from the phase III MARIPOSA-2 study.,37879444,10.1016/j.annonc.2023.10.117,2024,"PFS was significantly longer for amivantamab-chemotherapy and amivantamab-lazertinib-chemotherapy versus chemotherapy [hazard ratio (HR) for disease progression or death 0.48 and 0.44, respectively; P < 0.001 for both; median of 6.3 and 8.3 versus 4.2 months, respectively].",MARIPOSA-2 trial demonstrated that adding amivantamab to carboplatin-pemetrexed chemotherapy significantly prolonged PFS (6.3 months vs 4.2 months) compared to chemotherapy alone in patients with EGFR-mutant advanced NSCLC after progression on osimertinib.,supported,TRUE,FALSE
Is lorlatinib superior to crizotinib in previously untreated advanced ALK-positive NSCLC (initial results)?,gene-drug-disease,ALK,advanced ALK-positive NSCLC,"lorlatinib, crizotinib","First-line lorlatinib treatment leads to significantly higher 12-month progression-free survival (78% vs 39%, HR 0.28) compared to crizotinib in patients with advanced ALK-positive NSCLC.",literature_evidence,Phase III RCT,296,First-Line Lorlatinib or Crizotinib in Advanced ,33207094,10.1056/NEJMoa2027187,2020,"The percentage of patients who were alive without disease progression at 12 months was 78% (95% confidence interval [CI], 70 to 84) in the lorlatinib group and 39% (95% CI, 30 to 48) in the crizotinib group (hazard ratio for disease progression or death, 0.28; 95% CI, 0.19 to 0.41; P<0.001).",Initial CROWN trial results showed that first-line lorlatinib has superior PFS and intracranial efficacy compared to crizotinib in advanced ALK-positive NSCLC.,supported,TRUE,FALSE
Is lorlatinib superior to crizotinib in previously untreated advanced ALK-positive NSCLC (5-year follow-up)?,gene-drug-disease,ALK,advanced ALK-positive NSCLC,"lorlatinib, crizotinib","Long-term 5-year follow-up confirms that first-line lorlatinib maintains superior progression-free survival (median PFS not reached vs 9.1 months, HR 0.19) compared to crizotinib in advanced ALK-positive NSCLC.",literature_evidence,Phase III RCT,296,Lorlatinib Versus Crizotinib in Patients With Advanced ,38819031,10.1200/JCO.24.00581,2024,"With a median follow-up for PFS of 60.2 and 55.1 months, respectively, median PFS was not reached (NR [95% CI, 64.3 to NR]) with lorlatinib and 9.1 months (95% CI, 7.4 to 10.9) with crizotinib (hazard ratio [HR], 0.19 [95% CI, 0.13 to 0.27]).","5-year follow-up from CROWN trial confirms lorlatinib's long-term efficacy with a median PFS not reached, representing the longest reported PFS for single-agent targeted treatment in advanced NSCLC.",supported,TRUE,FALSE
Is alectinib superior to crizotinib in untreated advanced ALK-positive NSCLC?,gene-drug-disease,ALK,advanced ALK-positive NSCLC,"alectinib, crizotinib",Alectinib shows superior progression-free survival and lower toxicity compared to crizotinib in patients with previously untreated advanced ALK-positive NSCLC.,literature_evidence,Phase III RCT,303,Alectinib versus Crizotinib in Untreated ALK-Positive Non-Small-Cell Lung Cancer.,28586279,10.1056/NEJMoa1704795,2017,"The rate of investigator-assessed progression-free survival was significantly higher with alectinib than with crizotinib (12-month event-free survival rate, 68.4% ... vs. 48.7% ... hazard ratio for disease progression or death, 0.47 [95% CI, 0.34 to 0.65]; P<0.001); the median progression-free survival with alectinib was not reached.",ALEX phase III trial demonstrated that first-line alectinib provides superior PFS and lower rates of grade 3-5 adverse events compared with crizotinib in advanced ALK-positive NSCLC.,supported,TRUE,FALSE
Does baseline TP53 mutation status predict progression-free survival (PFS) outcomes in patients with advanced ALK-positive NSCLC?,gene-disease,"ALK, TP53",advanced ALK-positive NSCLC,crizotinib,Baseline TP53 mutation in plasma cell-free DNA is associated with poor progression-free survival in patients with advanced ALK-positive NSCLC.,molecular_context,Phase III RCT,275,Brigatinib Versus Crizotinib in ALK Inhibitor-Naive Advanced ALK-Positive NSCLC: Final Results of Phase 3 ALTA-1L Trial.,34537440,10.1016/j.jtho.2021.07.035,2021,Detectable baseline EML4-ALK fusion variant 3 and TP53 mutation in plasma were associated with poor PFS.,Final analysis of the ALTA-1L trial indicates that baseline TP53 mutation is a negative prognostic marker associated with poorer PFS in ALK-positive advanced NSCLC.,supported,TRUE,FALSE
Does first-line amivantamab-lazertinib improve PFS compared to osimertinib in EGFR-mutant advanced NSCLC patients with TP53 co-mutations?,gene-drug-disease,"EGFR, TP53",advanced EGFR-mutant NSCLC,"osimertinib, amivantamab, lazertinib",Amivantamab plus lazertinib significantly improves progression-free survival compared to osimertinib monotherapy in first-line EGFR-mutant advanced NSCLC patients with TP53 co-mutations.,literature_evidence,Secondary analysis of Phase III RCT,UNKNOWN,Amivantamab plus lazertinib versus osimertinib in first-line EGFR-mutant advanced non-small-cell lung cancer with biomarkers of high-risk disease: a secondary analysis from MARIPOSA.,38942080,10.1016/j.annonc.2024.05.541,2024,Amivantamab-lazertinib improved median PFS (mPFS) versus osimertinib for patients with TP53 co-mutations {18.2 versus 12.9 months; HR 0.65 [95% confidence interval (CI) 0.48-0.87]; P = 0.003},MARIPOSA secondary analysis showed that first-line amivantamab-lazertinib significantly prolonged PFS compared to osimertinib monotherapy in the high-risk subgroup of patients with EGFR-mutated advanced NSCLC and TP53 co-mutations.,supported,TRUE,FALSE
