PMID,DOI,title,journal,year,study_type,sample_n,disease,gene,drug_or_intervention,why_candidate,verification_status
37879444,10.1016/j.annonc.2023.10.117,Amivantamab plus chemotherapy with and without lazertinib in EGFR-mutant advanced NSCLC after disease progression on osimertinib: primary results from the phase III MARIPOSA-2 study.,Annals of oncology : official journal of the European Society for Medical Oncology,2024,Phase III RCT,657,EGFR-mutated advanced NSCLC after osimertinib progression,EGFR (exon 19 deletion or L858R),amivantamab plus pemetrexed-plus-platinum chemotherapy +/- lazertinib vs chemotherapy alone,Amivantamab-chemotherapy based regimens after progression on osimertinib (MARIPOSA-2 trial).,verified
37937763,10.1056/NEJMoa2306434,Osimertinib with or without Chemotherapy in ,The New England journal of medicine,2023,Phase III RCT,557,advanced NSCLC,EGFR (exon 19 deletion or L858R),osimertinib plus pemetrexed-plus-platinum vs osimertinib monotherapy,First-line osimertinib plus chemotherapy vs osimertinib monotherapy in EGFR-mutant advanced NSCLC (FLAURA2 trial).,verified
36720083,10.1200/JCO.22.02186,Adjuvant Osimertinib for Resected EGFR-Mutated Stage IB-IIIA Non-Small-Cell Lung Cancer: Updated Results From the Phase III Randomized ADAURA Trial.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2023,Phase III RCT,682,stage IB-IIIA NSCLC,EGFR (exon 19 deletion or L858R),adjuvant osimertinib vs placebo,Adjuvant osimertinib for resected EGFR-mutated stage IB-IIIA NSCLC (ADAURA trial).,verified
29151359,10.1056/NEJMoa1713137,Osimertinib in Untreated EGFR-Mutated Advanced Non-Small-Cell Lung Cancer.,The New England journal of medicine,2018,Phase III RCT,556,advanced NSCLC,EGFR (exon 19 deletion or L858R),osimertinib vs standard EGFR-TKIs (gefitinib or erlotinib),First-line osimertinib vs standard EGFR-TKIs in advanced EGFR-mutated NSCLC (FLAURA trial).,verified
38828946,10.1056/NEJMoa2402614,Osimertinib after Chemoradiotherapy in Stage III ,The New England journal of medicine,2024,Phase III RCT,216,unresectable stage III NSCLC,EGFR,osimertinib vs placebo after chemoradiotherapy,Osimertinib after chemoradiotherapy in stage III EGFR-mutant NSCLC (LAURA trial).,verified
38819031,10.1200/JCO.24.00581,Lorlatinib Versus Crizotinib in Patients With Advanced ,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2024,Phase III RCT,296,advanced ALK-positive NSCLC,ALK,lorlatinib vs crizotinib,Lorlatinib vs crizotinib in advanced ALK-positive NSCLC: 5-year follow-up of CROWN trial.,verified
33207094,10.1056/NEJMoa2027187,First-Line Lorlatinib or Crizotinib in Advanced ,The New England journal of medicine,2020,Phase III RCT,296,advanced ALK-positive NSCLC,ALK,lorlatinib vs crizotinib,Lorlatinib vs crizotinib in advanced ALK-positive NSCLC: initial CROWN trial results.,verified
36535300,10.1016/S2213-2600(22)00437-4,"Efficacy and safety of first-line lorlatinib versus crizotinib in patients with advanced, ALK-positive non-small-cell lung cancer: updated analysis of data from the phase 3, randomised, open-label CROWN study.",The Lancet. Respiratory medicine,2023,Phase III RCT,296,advanced ALK-positive NSCLC,ALK,lorlatinib vs crizotinib,Lorlatinib vs crizotinib in advanced ALK-positive NSCLC: 3-year updated CROWN trial analysis.,verified
28586279,10.1056/NEJMoa1704795,Alectinib versus Crizotinib in Untreated ALK-Positive Non-Small-Cell Lung Cancer.,The New England journal of medicine,2017,Phase III RCT,303,advanced ALK-positive NSCLC,ALK,alectinib vs crizotinib,Alectinib vs crizotinib in advanced ALK-positive NSCLC (ALEX trial).,verified
28445112,10.1056/NEJMoa1616288,Tracking the Evolution of Non-Small-Cell Lung Cancer.,The New England journal of medicine,2017,Prospective Cohort Study,100,early-stage NSCLC,"EGFR, TP53, MET, BRAF",surgical resection (no systemic therapy prior),Prospective genomic analysis of intratumor heterogeneity and clonal evolution in early-stage NSCLC (TRACERx study).,verified
38942080,10.1016/j.annonc.2024.05.541,Amivantamab plus lazertinib versus osimertinib in first-line EGFR-mutant advanced non-small-cell lung cancer with biomarkers of high-risk disease: a secondary analysis from MARIPOSA.,Annals of oncology : official journal of the European Society for Medical Oncology,2024,Secondary analysis of Phase III RCT,858,advanced EGFR-mutant NSCLC,"EGFR, TP53",amivantamab-lazertinib vs osimertinib,Amivantamab plus lazertinib vs osimertinib by TP53 mutation status and other biomarkers (MARIPOSA secondary analysis).,verified
34537440,10.1016/j.jtho.2021.07.035,Brigatinib Versus Crizotinib in ALK Inhibitor-Naive Advanced ALK-Positive NSCLC: Final Results of Phase 3 ALTA-1L Trial.,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2021,Phase III RCT,275,advanced ALK-positive NSCLC,"ALK, TP53",brigatinib vs crizotinib,Brigatinib vs crizotinib and the impact of baseline TP53 mutations on clinical outcome (ALTA-1L trial).,verified
36809080,10.1200/JCO.22.01989,Pembrolizumab Plus Pemetrexed and Platinum in Nonsquamous Non-Small-Cell Lung Cancer: 5-Year Outcomes From the Phase 3 KEYNOTE-189 Study.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2023,Phase III RCT,616,metastatic nonsquamous NSCLC without EGFR/ALK,"EGFR (wildtype), ALK (wildtype)",pembrolizumab plus pemetrexed-plus-platinum vs pemetrexed-plus-platinum,KEYNOTE-189 5-year outcomes of pemetrexed-plus-platinum chemotherapy (with/without pembrolizumab).,verified
